ID,Year,State,Question No,Question,A,B,C,D,Correct,Strict Verification
1,2026,TS,101,"If F = (A + B)(A + B̅), then F simplifies to:",A,B,A+B,0,A,YES
2,2026,TS,102,"Consider ⊙ defined as X⊙Y = X·Y + X̅·Y̅, then ⊙ is:",XOR,XNOR,NAND,NOR,B,YES
3,2026,TS,103,"If F = Σm(0,1,2,5,6,7), minimal SOP is:",A̅B̅+AC,A̅B̅+AB+AC,A̅B̅+BC̅+AC,A̅B̅+AC̅,C,YES
4,2026,TS,104,"For 4-variable K-map, largest group size possible is:",8,12,16,4,C,YES
5,2026,TS,105,"A 5-bit ripple counter uses J-K flip-flops with J=1, K=1 and the propagation delay is 30 ns. What is the time required for stable output from this ripple counter?",30 ns,100 ns,150 ns,120 ns,C,YES
6,2026,TS,106,Select the statement that contrasts Johnson’s counter with ripple counter correctly.,Both have the same number of states,Johnson’s counter has twice the states of a ripple counter,Ripple counter has twice the states of a Johnson counter,Both are asynchronous,C,YES
7,2026,TS,107,A full adder can be implemented using,Two half-adders only,"Two AND gates, two XOR gates and two OR gates","Two AND gates, two XOR gates and one OR gate",Two half-adders and one AND gate,C,YES
8,2026,TS,108,The difference between latch and flip-flop:,Latch is edge-triggered and flip-flop is not,Flip-flop is level-triggered and latch is not,Latch is level-triggered and flip-flop is edge-triggered,Latch and flip-flop are equivalent,C,YES
9,2026,TS,109,A decoder with n inputs can generate:,2n outputs,2^n outputs,n^2 outputs,3n outputs,B,YES
10,2026,TS,110,Minimum number of flip-flops required for a mod-12 counter is:,3,4,5,6,B,YES
11,2026,AP,101,Which logic gate produces an output of 0 only when all inputs are 1?,AND,OR,NAND,NOR,C,YES
12,2026,AP,102,The Boolean expression A + AB simplifies to,A,AB,B,1+B,A,YES
13,2026,AP,103,Which flip-flop has an invalid state?,D flip-flop,JK flip-flop,T flip-flop,SR flip-flop,D,YES
14,2026,AP,104,Convert the binary number 101101 into its decimal equivalent.,43,45,44,46,B,YES
15,2026,AP,105,The number of outputs of a 4-bit decoder is,4,8,16,32,C,YES
16,2026,AP,106,Which flip-flop toggles its output on every clock pulse when input is HIGH?,SR flip-flop,JK flip-flop,D flip-flop,T flip-flop,D,YES
17,2025,TS,101,The decimal equivalent of the octal number (645) is,(450)10,(451)10,(421)10,(501)10,C,YES
18,2025,TS,102,The characteristic equation of JK flip flop is,Q(n+1) = JQ(n) + KQ(n),Q(n+1) = JQ̅(n) + K̅Q(n),Q(n+1) = JQ̅(n) + KQ̅(n),Q(n+1) = J̅Q(n) + K̅Q(n),B,YES
19,2025,TS,103,Multiplication result of (10.10): and (01.01) is,101.0010,0010.101,011.0010,110.0011,C,YES
20,2025,TS,104,"For the logic circuit shown in the original paper, the required input (A, B, C) condition to make X = 1 is. The circuit is X = (A XOR B) AND (B XNOR C) AND C.","(1,0,1)","(0,0,1)","(1,1,1)","(0,1,1)",D,YES
21,2025,TS,105,"A three variable truth table has a High output for the inputs (A, B, C): 010, 011 and 110. The Boolean expression for Sum Of Product (SOP) can be written as",AB + BC,A̅B + BC̅,A̅B + BC,AB + BC̅,B,YES
22,2025,TS,106,The logic function implemented by the circuit shown below is (ground implies a logic “0”) 4x1 MUX 2 I f; 5 5p PQ,F =AND (P. Q),F=OR(P. Q),"F = XNOR (P, Q)",F = XOR (P. Q),D,YES
23,2025,TS,107,"Among the digital IC families ECL, TTL and CMOS, which one of the following is correct?",ECL has more propagation delay,TTL has the largest Fan-out,CMOS has the lowest power consumption,TTL has the highest noise margin,C,YES
24,2025,TS,108,"The outputs of the two flip-flops Q1, Q2 in the figure shown are initialized to 0, 0. The sequence generated at Q1 upon application of clock signal is:",01110...,01010...,00110...,01100...,D,YES
25,2025,TS,109,"The output frequency of a mod-12 counter is 6 KHz, then the input frequency is",6 KHz,500 Hz,24 KHz,72 KHz,D,YES
26,2025,TS,110,Which of the following is correct for DRAM?,Periodic refreshing is not required,Data is stored in a capacitor,Data stored in a latch,Read and write operations performed simultaneously,B,YES
27,2025,AP,101,Which of the following is a universal gate?,AND,OR,NAND,XOR,C,YES
28,2025,AP,102,Which of the following is NOT a combinational circuit?,Flip-flop,Decoder,Multiplexer,Adder,A,YES
29,2025,AP,103,A demultiplexer is a device that :,Encode multiple inputs into one output,Decode binary to decimal,Store binary information,Route a single input to multiple outputs,D,YES
30,2025,AP,104,Convert the binary number 110011 into its decimal equivalent.,51,49,53,55,A,YES
31,2025,AP,105,The number of select lines required for an 8-to-1 multiplexer is?,3,7,9,8,A,YES
32,2025,AP,106,_A Sequential logic circuit that toggles its output state on each clock pulse is,SR flip-flop,D flip-flop,JK flip-flop,T flip-flop,D,YES
33,2025,AP,107,Convert the decimal number 108 into its octal equivalent.,124,134,144,154,D,YES
34,2025,AP,108,What is the simplified form of the Boolean expression (A+ B)(A+C)?,A+B+C,AB+C,AC+BC,A+BC,D,YES
35,2024,TS,101,The decimal equivalent of octal number (130.24)₈ is:,80.3125,88.3125,40.15625,88.20,B,YES
36,2024,TS,102,The binary equivalent of a BCD number 00101001.01110101 is,11101.11,11010.11,11101.10100,11010.10100,A,YES
37,2024,TS,103,The logical gate that gives an output of logic level “1” whenever two inputs are equal is,AND,OR,EX-OR,EX-NOR,D,YES
38,2024,TS,104,Convert,(A+B)(A̅+B̅),(A̅+B̅)(A̅+B),(A+B̅)(A̅+B),(A+B)(A+B̅),C,YES
39,2024,TS,105,A digital circuit whose output depends not only on the present input but also on sequence of past inputs is a,Decoder,Multiplexer,Sequential Circuit,Combinational Circuit,C,YES
40,2024,TS,106,The number of distinct Boolean expressions for 4 variables is,16,256,1024,65536,D,YES
41,2024,TS,107,An SR flip-flop is converted to a D flip-flop by inserting an inverter between S & R and assigning a single input.,Master Slave,T,JK,D,D,YES
42,2024,TS,108,A combinational circuit that converts the binary information from 2^n inputs to n outputs is,Decoder,Multiplexer,Half Adder,Encoder,D,YES
43,2024,TS,109,The address lines required for a 16 kilobyte memory chip is,4,16,14,13,C,YES
44,2024,TS,110,"If A, B, C, D, E, F represent variables of a Boolean expression and mᵢ is the iᵗʰ minterm, then the value of m₄₇ is:",A·B̅·C·D·E·F,A+B̅+C+D+E+F,A̅·B·C̅·D̅·E̅·F̅,A̅+B+C̅+D̅+E̅+F̅,A,YES
45,2024,AP,101,"The table containing present state of output, next state of the output and the inputs is called",Truth table,State table,Excitation table,Transition table,C,YES
46,2024,AP,102,A sequential circuit with 10 states will have,3 flip-flops,10 flip-flops,4 flip-flops,5 flip-flops,C,YES
47,2024,AP,103,A binary number can be multiplied by 2 or divided by 2 with help of,AND gate,Sequential circuit,Shift register,Any combinational circuit,C,YES
48,2024,AP,104,A five-bit binary counter uses flip-flops with propagation delay time of 10 ns each. The maximum possible time required for change of state will be,10 ns,0.5 ns,2 ns,50 ns,D,YES
49,2024,AP,105,The Boolean expression (A+C)(AB′+AC)(A′C′+B′) can be simplified to:,AB′,AB+A′C,A′B+BC,AB+BC,A,YES
50,2024,AP,106,The 2’s complement representation of the decimal value -15 is,01111,11111,11110,10001,D,YES
51,2024,AP,107,"Let * be defined as x*y=x′+y, let z=x*y. Then the value of z*x is",x′+y,x,0,1,B,YES
52,2024,AP,108,"SR latch is made by cross coupling two NAND gates. If S=R=0, then it will result in","Q=0, Q′=1","Q=1, Q′=0","Q=1, Q′=1",indeterminate state,C,YES
53,2023,TS,101,Which statement best describes a Karnaugh map,It is simply a rearranged truth table,The Karnaugh map eliminates the need of using NAND and NOR gates,Variable complement can be eliminated using Karnaugh maps,A Karnaugh map can be used to replace Boolean rules,A,YES
54,2023,TS,102,The number of distinct Boolean expressions for 4 variables is,16,256,1024,65536,D,YES
55,2023,TS,103,An SR flip-flop is converted to a ___ flip-flop by inserting an inverter between S & R and assigning a single input:,Master-slave,T,JK,D,D,YES
56,2023,TS,104,A combinational circuit that converts the binary information from 2ⁿ inputs to n outputs is:,Decoder,Multiplexer,Half adder,Encoder,D,YES
57,2023,TS,105,Convert the decimal number 41.6875 into binary,101001.0111000111101,101001.111000111101,101001.1101,101001.1011,D,YES
58,2023,TS,106,Find the 4’s complement of a number 12302 (base 4),32002,32003,21032,21031,C,YES
59,2023,TS,107,How many gates would be required to implement the following Boolean expression after simplification? XY + X(X+Z) + Y(X+Z),1,2,8,4,B,YES
60,2023,TS,108,The logical expression Y = A + A̅B is equivalent to,Y=AB,Y=A̅+B,Y=A̅B,Y=A+B,D,YES
61,2023,TS,109,The number of selection inputs required for a 64 × 1 Multiplexer (MUX) are,5,6,8,4,B,YES
